Какое из утверждений наиболее близко описывает ваше отношение к участию в научных конференциях?,Что вас могло бы мотивировать принять участие в научной конференции?,"Как вы считаете, насколько важно для первокурсников участвовать в научных конференциях?",Какие факторы могут вас остановить от участия в научной конференции?,Вам было бы интересно участвовать в научной конференции за границей?Вам было бы интересно участвовать в научной конференции за границей?,"Если бы вы участвовали в научной конференции, вы бы хотели выступать с докладом или просто слушать?",Вы предпочли бы участвовать в конференциях в области вашей специализации или в других областях?,"Вы считаете, что участие в научных конференциях может помочь вам в учебе?",Как часто вы участвовали в школьных конференциях и внеклассных мероприятиях?,Чем вы занимаетесь в свободное время?,Занимаетесь ли вы самообучением ?,По какой причине вы поступили на данную специальность?,Как вы относитесь к публичному выступлению?,Как вы относитесь к возможности общения и сотрудничества с другими студентами в рамках академических мероприятий?
Я активно ищу возможности для участия,Обмен опытом и знаниями,Нейтрально,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Только в моей специализации,"Возможно, но я не уверен","На многих, но по одному определенному направлению",Хобби,Подписан на курсы,Настояли родители,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Нейтрально,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я еще не знаю,Только в моей специализации,"Возможно, но я не уверен","На многих, но по одному определенному направлению",Pаботаю,Хожу на доп. занятия,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Я не знаю, что такое научные конференции.",Просто интерес,Нейтрально,Недостаток опыта или знаний,"Да, это было бы замечательно",Я бы хотел выступить с докладом,Только в моей специализации,"Нет, я не вижу связи","Был(а) практически на каждом, что были",Хобби,Подписан на курсы,Собственный интерес,Обожаю выступать,Не очень хотел бы сильно взаимодействовать с другими
Мне это не интересно,Получение сертификата или диплома,Не очень важно,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,В других областях тоже интересно,"Возможно, но я не уверен",В нескольких за все время обучения,Хобби,Не занимаюсь,От безысходности,"Мне дается это легко, но ...","Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Нейтрально,Нет интереса к теме конференции,"Нет, я бы предпочел участвовать в конференциях в своей стране",Я бы хотел выступить с докладом,Только в моей специализации,"Да, это может быть полезно",Никогда,Cпорт,Занимаюсь программированием,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Нейтрально,Недостаток опыта или знаний,"Возможно, но это зависит от многих факторов",Я еще не знаю,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Pаботаю,Читаю научную литературу,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Очень важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,В других областях тоже интересно,"Возможно, но я не уверен",В нескольких за все время обучения,Нет свободного времени,Подписан на курсы,Актуальная профессия,"Мне дается это легко, но ...","Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Нейтрально,Нет интереса к теме конференции,"Да, это было бы замечательно",Я бы предпочел просто слушать,Только в моей специализации,"Нет, я не вижу связи",В нескольких за все время обучения,Pаботаю,Подписан на курсы,Актуальная профессия,Боюсь выступать,Не очень хотел бы сильно взаимодействовать с другими
Мне это не интересно,Повышение своей квалификации,Важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я еще не знаю,Только в моей специализации,"Да, это может быть полезно",В нескольких за все время обучения,Pаботаю,Занимаюсь программированием,Собственный интерес,"Мне дается это легко, но ...","Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Нейтрально,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","На многих, но по одному определенному направлению",Ничем,Не занимаюсь,От безысходности,"Мне дается это легко, но ...","Нейтрально, зависит от ситуации"
Мне это не интересно,Получение сертификата или диплома,Нейтрально,Нет интереса к теме конференции,"Да, это было бы замечательно",Я бы предпочел просто слушать,Только в моей специализации,"Да, это может быть полезно",Никогда,Хобби,Занимаюсь программированием,От безысходности,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Повышение своей квалификации,Нейтрально,Недостаток опыта или знаний,"Да, это было бы замечательно",Я бы предпочел просто слушать,В других областях тоже интересно,"Возможно, но я не уверен",Никогда,Хобби,Занимаюсь программированием,От безысходности,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Важно,Недостаток опыта или знаний,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","На многих, но по одному определенному направлению",Ничем,Не занимаюсь,От безысходности,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Только в моей специализации,"Да, это может быть полезно",В нескольких за все время обучения,Pаботаю,Читаю научную литературу,Собственный интерес,"Мне дается это легко, но ...","Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Повышение своей квалификации,Важно,Недостаток опыта или знаний,"Нет, я бы предпочел участвовать в конференциях в своей стране",Я бы предпочел просто слушать,Только в моей специализации,"Да, это может быть полезно",Никогда,Хобби,Занимаюсь программированием,Собственный интерес,Боюсь выступать,"Нейтрально, зависит от ситуации"
Мне это не интересно,Просто интерес,Нейтрально,Нет интереса к теме конференции,"Нет, я бы предпочел участвовать в конференциях в своей стране",Я еще не знаю,Только в моей специализации,"Да, это может быть полезно",В нескольких за все время обучения,Cпорт,Занимаюсь программированием,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Просто интерес,Важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я еще не знаю,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Pаботаю,Занимаюсь программированием,Собственный интерес,Обожаю выступать,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Просто интерес,Нейтрально,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Pаботаю,Подписан на курсы,Актуальная профессия,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Повышение своей квалификации,Совсем не важно,Недостаток времени,"Да, это было бы замечательно",Я еще не знаю,Только в моей специализации,"Нет, я не вижу связи","Был(а) практически на каждом, что были",Нет свободного времени,Читаю научную литературу,От безысходности,Обожаю выступать,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Нейтрально,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,В других областях тоже интересно,"Возможно, но я не уверен",Никогда,Нет свободного времени,Подписан на курсы,Актуальная профессия,При необходимости могу выступить,Не очень хотел бы сильно взаимодействовать с другими
Я активно ищу возможности для участия,Обмен опытом и знаниями,Очень важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Только в моей специализации,"Да, это может быть полезно","Был(а) практически на каждом, что были",Нет свободного времени,Не занимаюсь,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Получение сертификата или диплома,Нейтрально,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Только в моей специализации,"Возможно, но я не уверен",Никогда,Хобби,Занимаюсь программированием,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Я не знаю, что такое научные конференции.",Возможность представить свою работу,Нейтрально,Недостаток времени,"Нет, я бы предпочел участвовать в конференциях в своей стране",Я бы предпочел просто слушать,Только в моей специализации,"Возможно, но я не уверен",Никогда,Саморазвитие,Занимаюсь программированием,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Обмен опытом и знаниями,Не очень важно,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я еще не знаю,Мне всё равно,"Возможно, но я не уверен",Никогда,Хобби,Занимаюсь программированием,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Очень важно,Нет интереса к теме конференции,"Да, это было бы замечательно",Я бы хотел выступить с докладом,Мне всё равно,"Возможно, но я не уверен",В нескольких за все время обучения,Нет свободного времени,Хожу на доп. занятия,Актуальная профессия,"Мне дается это легко, но ...","Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Просто интерес,Важно,Недостаток времени,"Да, это было бы замечательно",Я еще не знаю,В других областях тоже интересно,"Нет, я не вижу связи","На многих, но по одному определенному направлению",Cпорт,Хожу на доп. занятия,Актуальная профессия,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Хобби,Читаю научную литературу,От безысходности,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Просто интерес,Очень важно,Недостаток времени,"Да, это было бы замечательно",Я еще не знаю,Мне всё равно,"Да, это может быть полезно",Другой ответ,Хобби,Подписан на курсы,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Просто интерес,Нейтрально,Нет интереса к теме конференции,"Нет, я бы предпочел участвовать в конференциях в своей стране",Я бы предпочел просто слушать,Мне всё равно,"Нет, я не вижу связи",В нескольких за все время обучения,Cпорт,Не занимаюсь,Собственный интерес,Боюсь выступать,Не очень хотел бы сильно взаимодействовать с другими
Мне это не интересно,Получение сертификата или диплома,Совсем не важно,Недостаток времени,"Нет, я бы предпочел участвовать в конференциях в своей стране",Я еще не знаю,Мне всё равно,"Нет, я не вижу связи",Никогда,Pаботаю,Хожу на доп. занятия,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Важно,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","Был(а) практически на каждом, что были",Pаботаю,Занимаюсь программированием,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Нейтрально,Недостаток времени,"Возможно, но это зависит от многих факторов",Я еще не знаю,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Саморазвитие,Подписан на курсы,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Важно,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","Был(а) практически на каждом, что были",Хобби,Читаю научную литературу,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Я не знаю, что такое научные конференции.",Просто интерес,Нейтрально,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,Только в моей специализации,"Да, это может быть полезно",Никогда,Саморазвитие,Занимаюсь программированием,Свой вариант,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Возможность представить свою работу,Очень важно,Недостаток времени,"Нет, я бы предпочел участвовать в конференциях в своей стране",Я бы хотел выступить с докладом,Только в моей специализации,"Да, это может быть полезно","Был(а) практически на каждом, что были",Нет свободного времени,Не занимаюсь,Собственный интерес,Обожаю выступать,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Важно,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я еще не знаю,В других областях тоже интересно,"Возможно, но я не уверен",Другой ответ,Хобби,Подписан на курсы,Свой вариант,"Мне дается это легко, но ...","Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Важно,Недостаток опыта или знаний,"Возможно, но это зависит от многих факторов",Я еще не знаю,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Саморазвитие,Не занимаюсь,Актуальная профессия,Боюсь выступать,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Просто интерес,Нейтрально,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Только в моей специализации,"Возможно, но я не уверен",В нескольких за все время обучения,Cпорт,Не занимаюсь,Актуальная профессия,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Нейтрально,Недостаток времени,"Да, это было бы замечательно",Я еще не знаю,В других областях тоже интересно,"Возможно, но я не уверен",В нескольких за все время обучения,Pаботаю,Не занимаюсь,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Возможность представить свою работу,Нейтрально,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","Был(а) практически на каждом, что были",Cпорт,Хожу на доп. занятия,От безысходности,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Нейтрально,Недостаток опыта или знаний,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Мне всё равно,"Возможно, но я не уверен","На многих, но по одному определенному направлению",Саморазвитие,Не занимаюсь,Собственный интерес,"Мне дается это легко, но ...","Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Важно,Финансовые затраты,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Саморазвитие,Читаю научную литературу,Собственный интерес,Обожаю выступать,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Важно,Недостаток опыта или знаний,"Возможно, но это зависит от многих факторов",Я еще не знаю,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Cпорт,Читаю научную литературу,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Получение сертификата или диплома,Важно,Недостаток опыта или знаний,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Только в моей специализации,"Да, это может быть полезно","На многих, но по одному определенному направлению",Хобби,Занимаюсь программированием,Собственный интерес,Боюсь выступать,"Нейтрально, зависит от ситуации"
Мне это не интересно,Получение сертификата или диплома,Очень важно,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,Только в моей специализации,"Да, это может быть полезно","Был(а) практически на каждом, что были",Хобби,Не занимаюсь,Собственный интерес,При необходимости могу выступить,Не очень хотел бы сильно взаимодействовать с другими
Мне это не интересно,Повышение своей квалификации,Нейтрально,Нет интереса к теме конференции,"Да, это было бы замечательно",Я еще не знаю,В других областях тоже интересно,"Да, это может быть полезно","На многих, но по одному определенному направлению",Хобби,Не занимаюсь,От безысходности,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Я активно ищу возможности для участия,Обмен опытом и знаниями,Важно,Недостаток опыта или знаний,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","На многих, но по одному определенному направлению",Хобби,Читаю научную литературу,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Я активно ищу возможности для участия,Повышение своей квалификации,Совсем не важно,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Только в моей специализации,"Да, это может быть полезно","На многих, но по одному определенному направлению",Pаботаю,Не занимаюсь,Свой вариант,Свой вариант,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Очень важно,Недостаток опыта или знаний,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Саморазвитие,Читаю научную литературу,Актуальная профессия,Обожаю выступать,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Нейтрально,Недостаток времени,"Да, это было бы замечательно",Я бы предпочел просто слушать,В других областях тоже интересно,"Да, это может быть полезно","Был(а) практически на каждом, что были",Pаботаю,Не занимаюсь,Актуальная профессия,Обожаю выступать,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Нейтрально,Недостаток времени,"Да, это было бы замечательно",Я бы предпочел просто слушать,Мне всё равно,"Да, это может быть полезно",В нескольких за все время обучения,Pаботаю,Подписан на курсы,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Я не знаю, что такое научные конференции.",Просто интерес,Нейтрально,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Pаботаю,Не занимаюсь,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Я активно ищу возможности для участия,Получение сертификата или диплома,Нейтрально,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","Был(а) практически на каждом, что были",Саморазвитие,Подписан на курсы,Свой вариант,"Мне дается это легко, но ...","Абсолютно позитивно, готов работать в команде"
