Какое из утверждений наиболее близко описывает ваше отношение к участию в научных конференциях?,Что вас могло бы мотивировать принять участие в научной конференции?,"Как вы считаете, насколько важно для первокурсников участвовать в научных конференциях?",Какие факторы могут вас остановить от участия в научной конференции?,Вам было бы интересно участвовать в научной конференции за границей?Вам было бы интересно участвовать в научной конференции за границей?,"Если бы вы участвовали в научной конференции, вы бы хотели выступать с докладом или просто слушать?",Вы предпочли бы участвовать в конференциях в области вашей специализации или в других областях?,"Вы считаете, что участие в научных конференциях может помочь вам в учебе?",Как часто вы участвовали в школьных конференциях и внеклассных мероприятиях?,Чем вы занимаетесь в свободное время?,Занимаетесь ли вы самообучением ?,По какой причине вы поступили на данную специальность?,Как вы относитесь к публичному выступлению?,Как вы относитесь к возможности общения и сотрудничества с другими студентами в рамках академических мероприятий?
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Нейтрально,Недостаток опыта или знаний,"Да, это было бы замечательно",Я бы предпочел просто слушать,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Саморазвитие,Читаю научную литературу,От безысходности,Боюсь выступать,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Нейтрально,Недостаток опыта или знаний,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Мне всё равно,"Возможно, но я не уверен",Никогда,Помогаю по дому,Не занимаюсь,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Просто интерес,Нейтрально,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,В других областях тоже интересно,"Возможно, но я не уверен",В нескольких за все время обучения,Саморазвитие,Не занимаюсь,Собственный интерес,Обожаю выступать,"Нейтрально, зависит от ситуации"
Мне это не интересно,Просто интерес,Нейтрально,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Мне всё равно,"Нет, я не вижу связи",В нескольких за все время обучения,Хобби,Не занимаюсь,Свой вариант,Боюсь выступать,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Важно,Недостаток времени,"Да, это было бы замечательно",Я еще не знаю,Мне всё равно,"Возможно, но я не уверен",В нескольких за все время обучения,Хобби,Подписан на курсы,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Обмен опытом и знаниями,Совсем не важно,Недостаток времени,"Да, это было бы замечательно",Я бы предпочел просто слушать,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Pаботаю,Подписан на курсы,Собственный интерес,Обожаю выступать,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Просто интерес,Важно,Нет интереса к теме конференции,"Да, это было бы замечательно",Я еще не знаю,Мне всё равно,"Да, это может быть полезно",В нескольких за все время обучения,Хобби,Читаю научную литературу,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Обмен опытом и знаниями,Не очень важно,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","На многих, но по одному определенному направлению",Помогаю по дому,Хожу на доп. занятия,Собственный интерес,Боюсь выступать,Не очень хотел бы сильно взаимодействовать с другими
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Важно,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Мне всё равно,"Возможно, но я не уверен",В нескольких за все время обучения,Cпорт,Читаю научную литературу,Актуальная профессия,Боюсь выступать,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Нейтрально,Недостаток опыта или знаний,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Мне всё равно,"Возможно, но я не уверен",В нескольких за все время обучения,Нет свободного времени,Читаю научную литературу,Собственный интерес,Боюсь выступать,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Нейтрально,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,В других областях тоже интересно,"Возможно, но я не уверен",Никогда,Хобби,Не занимаюсь,Настояли родители,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Просто интерес,Важно,Недостаток времени,"Нет, я бы предпочел участвовать в конференциях в своей стране",Я бы предпочел просто слушать,В других областях тоже интересно,"Нет, я не вижу связи",Никогда,Хобби,Не занимаюсь,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Важно,Недостаток времени,"Да, это было бы замечательно",Я еще не знаю,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Хобби,Подписан на курсы,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","На многих, но по одному определенному направлению",Cпорт,Читаю научную литературу,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Я не знаю, что такое научные конференции.",Возможность представить свою работу,Не очень важно,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я еще не знаю,В других областях тоже интересно,"Возможно, но я не уверен",В нескольких за все время обучения,Хобби,Читаю научную литературу,Свой вариант,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Получение сертификата или диплома,Нейтрально,Нет интереса к теме конференции,"Да, это было бы замечательно",Я еще не знаю,В других областях тоже интересно,"Возможно, но я не уверен",В нескольких за все время обучения,Pаботаю,Не занимаюсь,Собственный интерес,Боюсь выступать,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Очень важно,Недостаток опыта или знаний,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Хобби,Не занимаюсь,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Нейтрально,Недостаток времени,"Да, это было бы замечательно",Я еще не знаю,В других областях тоже интересно,"Возможно, но я не уверен",В нескольких за все время обучения,Нет свободного времени,Занимаюсь программированием,Актуальная профессия,Боюсь выступать,Не очень хотел бы сильно взаимодействовать с другими
"Мне интересно, но я ещё не участвовал",Просто интерес,Нейтрально,Недостаток времени,"Нет, я бы предпочел участвовать в конференциях в своей стране",Я бы предпочел просто слушать,Мне всё равно,"Возможно, но я не уверен",В нескольких за все время обучения,Хобби,Хожу на доп. занятия,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Просто интерес,Совсем не важно,Нет интереса к теме конференции,"Да, это было бы замечательно",Я еще не знаю,В других областях тоже интересно,"Нет, я не вижу связи","На многих, но по одному определенному направлению",Pаботаю,Хожу на доп. занятия,Актуальная профессия,Свой вариант,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Просто интерес,Нейтрально,Нет интереса к теме конференции,"Да, это было бы замечательно",Я бы предпочел просто слушать,В других областях тоже интересно,"Возможно, но я не уверен",В нескольких за все время обучения,Cпорт,Занимаюсь программированием,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Повышение своей квалификации,Нейтрально,Нет интереса к теме конференции,"Да, это было бы замечательно",Я бы предпочел просто слушать,В других областях тоже интересно,"Да, это может быть полезно",Никогда,Cпорт,Подписан на курсы,Собственный интерес,"Мне дается это легко, но ...","Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Нейтрально,Финансовые затраты,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Хобби,Читаю научную литературу,Свой вариант,"Мне дается это легко, но ...","Нейтрально, зависит от ситуации"
Мне это не интересно,Получение сертификата или диплома,Нейтрально,Финансовые затраты,"Да, это было бы замечательно",Я бы предпочел просто слушать,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Cпорт,Занимаюсь программированием,Актуальная профессия,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Повышение своей квалификации,Нейтрально,Нет интереса к теме конференции,"Нет, я бы предпочел участвовать в конференциях в своей стране",Я бы предпочел просто слушать,Мне всё равно,"Нет, я не вижу связи",Никогда,Pаботаю,Не занимаюсь,Актуальная профессия,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Важно,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,Мне всё равно,"Возможно, но я не уверен","На многих, но по одному определенному направлению",Саморазвитие,Читаю научную литературу,Собственный интерес,Обожаю выступать,"Абсолютно позитивно, готов работать в команде"
Я активно ищу возможности для участия,Повышение своей квалификации,Очень важно,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","Был(а) практически на каждом, что были",Pаботаю,Хожу на доп. занятия,Собственный интерес,"Мне дается это легко, но ...","Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Просто интерес,Нейтрально,Недостаток времени,"Возможно, но это зависит от многих факторов",Я еще не знаю,В других областях тоже интересно,"Возможно, но я не уверен",В нескольких за все время обучения,Pаботаю,Не занимаюсь,Актуальная профессия,Боюсь выступать,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Важно,Нет интереса к теме конференции,"Да, это было бы замечательно",Я бы предпочел просто слушать,Только в моей специализации,"Да, это может быть полезно","Был(а) практически на каждом, что были",Pаботаю,Читаю научную литературу,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Обмен опытом и знаниями,Не очень важно,Недостаток времени,"Да, это было бы замечательно",Я бы предпочел просто слушать,Мне всё равно,"Нет, я не вижу связи",В нескольких за все время обучения,Нет свободного времени,Не занимаюсь,Актуальная профессия,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Просто интерес,Нейтрально,Другие причины,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,В других областях тоже интересно,"Нет, я не вижу связи",Никогда,Нет свободного времени,Не занимаюсь,Собственный интерес,Свой вариант,"Нейтрально, зависит от ситуации"
Я активно ищу возможности для участия,Обмен опытом и знаниями,Очень важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","Был(а) практически на каждом, что были",Хобби,Читаю научную литературу,Собственный интерес,Обожаю выступать,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Нейтрально,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,Только в моей специализации,"Да, это может быть полезно",В нескольких за все время обучения,Помогаю по дому,Подписан на курсы,Актуальная профессия,Обожаю выступать,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Не очень важно,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,В других областях тоже интересно,"Возможно, но я не уверен",Никогда,Pаботаю,Хожу на доп. занятия,Хожу на доп. занятия,При необходимости могу выступить,Не очень хотел бы сильно взаимодействовать с другими
"Мне интересно, но я ещё не участвовал",Просто интерес,Важно,Недостаток опыта или знаний,"Да, это было бы замечательно",Я бы предпочел просто слушать,В других областях тоже интересно,"Да, это может быть полезно","На многих, но по одному определенному направлению",Хобби,Читаю научную литературу,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Нейтрально,Нет интереса к теме конференции,"Да, это было бы замечательно",Я бы хотел выступить с докладом,Мне всё равно,"Да, это может быть полезно",В нескольких за все время обучения,Хобби,Занимаюсь программированием,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Нейтрально,Финансовые затраты,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Саморазвитие,Читаю научную литературу,Актуальная профессия,Обожаю выступать,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Получение сертификата или диплома,Нейтрально,Финансовые затраты,"Да, это было бы замечательно",Я еще не знаю,В других областях тоже интересно,"Возможно, но я не уверен","На многих, но по одному определенному направлению",Хобби,Хожу на доп. занятия,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Получение сертификата или диплома,Нейтрально,Недостаток времени,"Нет, я бы предпочел участвовать в конференциях в своей стране",Я бы предпочел просто слушать,В других областях тоже интересно,"Возможно, но я не уверен","На многих, но по одному определенному направлению",Pаботаю,Хожу на доп. занятия,Актуальная профессия,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Получение сертификата или диплома,Очень важно,Недостаток опыта или знаний,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,Только в моей специализации,"Да, это может быть полезно",Никогда,Хобби,Не занимаюсь,Актуальная профессия,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,Мне всё равно,"Да, это может быть полезно","Был(а) практически на каждом, что были",Саморазвитие,Подписан на курсы,Актуальная профессия,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Возможность представить свою работу,Нейтрально,Недостаток времени,"Да, это было бы замечательно",Я еще не знаю,Только в моей специализации,"Возможно, но я не уверен",Никогда,Нет свободного времени,Занимаюсь программированием,Свой вариант,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Важно,Недостаток опыта или знаний,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","Был(а) практически на каждом, что были",Саморазвитие,Не занимаюсь,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Просто интерес,Нейтрально,Недостаток опыта или знаний,"Да, это было бы замечательно",Я бы предпочел просто слушать,Только в моей специализации,"Возможно, но я не уверен",В нескольких за все время обучения,Cпорт,Не занимаюсь,Актуальная профессия,Боюсь выступать,"Нейтрально, зависит от ситуации"
"Я не знаю, что такое научные конференции.",Просто интерес,Не очень важно,Другие причины,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Мне всё равно,"Возможно, но я не уверен",В нескольких за все время обучения,Саморазвитие,Хожу на доп. занятия,Свой вариант,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Я активно ищу возможности для участия,Получение сертификата или диплома,Очень важно,Недостаток времени,"Да, это было бы замечательно",Я бы предпочел просто слушать,Только в моей специализации,"Да, это может быть полезно","Был(а) практически на каждом, что были",Саморазвитие,Хожу на доп. занятия,Свой вариант,"Мне дается это легко, но ...","Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Просто интерес,Не очень важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я еще не знаю,В других областях тоже интересно,"Нет, я не вижу связи","Был(а) практически на каждом, что были",Саморазвитие,Не занимаюсь,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Не очень важно,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,Только в моей специализации,"Да, это может быть полезно",В нескольких за все время обучения,Саморазвитие,Читаю научную литературу,Собственный интерес,Обожаю выступать,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Повышение своей квалификации,Важно,Недостаток опыта или знаний,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Только в моей специализации,"Да, это может быть полезно",Никогда,Хобби,Не занимаюсь,Актуальная профессия,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Просто интерес,Нейтрально,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Мне всё равно,"Нет, я не вижу связи","На многих, но по одному определенному направлению",Нет свободного времени,Читаю научную литературу,От безысходности,Боюсь выступать,Не очень хотел бы сильно взаимодействовать с другими
Мне это не интересно,Получение сертификата или диплома,Нейтрально,Недостаток времени,"Да, это было бы замечательно",Я еще не знаю,В других областях тоже интересно,"Возможно, но я не уверен",В нескольких за все время обучения,Pаботаю,Не занимаюсь,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Нейтрально,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,В других областях тоже интересно,"Возможно, но я не уверен",Никогда,Саморазвитие,Читаю научную литературу,Собственный интерес,"Мне дается это легко, но ...","Нейтрально, зависит от ситуации"
Мне это не интересно,Обмен опытом и знаниями,Нейтрально,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я еще не знаю,Мне всё равно,"Нет, я не вижу связи",Никогда,Нет свободного времени,Не занимаюсь,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Важно,Недостаток опыта или знаний,"Да, это было бы замечательно",Я бы предпочел просто слушать,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Хобби,Не занимаюсь,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Получение сертификата или диплома,Важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Только в моей специализации,"Да, это может быть полезно","Был(а) практически на каждом, что были",Нет свободного времени,Подписан на курсы,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Я не знаю, что такое научные конференции.",Просто интерес,Нейтрально,Финансовые затраты,"Да, это было бы замечательно",Я бы хотел выступить с докладом,Только в моей специализации,"Да, это может быть полезно",В нескольких за все время обучения,Саморазвитие,Читаю научную литературу,Собственный интерес,Обожаю выступать,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Важно,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,Только в моей специализации,"Да, это может быть полезно",В нескольких за все время обучения,Cпорт,Не занимаюсь,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Нейтрально,Недостаток времени,"Возможно, но это зависит от многих факторов",Я еще не знаю,В других областях тоже интересно,"Возможно, но я не уверен","Был(а) практически на каждом, что были",Хобби,Подписан на курсы,Свой вариант,"Мне дается это легко, но ...","Абсолютно позитивно, готов работать в команде"
