Какое из утверждений наиболее близко описывает ваше отношение к участию в научных конференциях?,Что вас могло бы мотивировать принять участие в научной конференции?,"Как вы считаете, насколько важно для первокурсников участвовать в научных конференциях?",Какие факторы могут вас остановить от участия в научной конференции?,Вам было бы интересно участвовать в научной конференции за границей?Вам было бы интересно участвовать в научной конференции за границей?,"Если бы вы участвовали в научной конференции, вы бы хотели выступать с докладом или просто слушать?",Вы предпочли бы участвовать в конференциях в области вашей специализации или в других областях?,"Вы считаете, что участие в научных конференциях может помочь вам в учебе?",Как часто вы участвовали в школьных конференциях и внеклассных мероприятиях?,Чем вы занимаетесь в свободное время?,Занимаетесь ли вы самообучением ?,По какой причине вы поступили на данную специальность?,Как вы относитесь к публичному выступлению?,Как вы относитесь к возможности общения и сотрудничества с другими студентами в рамках академических мероприятий?
"Я не знаю, что такое научные конференции.",Получение сертификата или диплома,Очень важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,Мне всё равно,"Возможно, но я не уверен","Был(а) практически на каждом, что были",Хобби,Читаю научную литературу,От безысходности,Обожаю выступать,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Важно,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","Был(а) практически на каждом, что были",Хобби,Не занимаюсь,Собственный интерес,Обожаю выступать,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Просто интерес,Нейтрально,Недостаток опыта или знаний,"Да, это было бы замечательно",Я бы хотел выступить с докладом,Мне всё равно,"Да, это может быть полезно",В нескольких за все время обучения,Хобби,Подписан на курсы,Свой вариант,"Мне дается это легко, но ...","Нейтрально, зависит от ситуации"
Мне это не интересно,Обмен опытом и знаниями,Нейтрально,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Только в моей специализации,"Да, это может быть полезно",В нескольких за все время обучения,Хобби,Не занимаюсь,Собственный интерес,"Мне дается это легко, но ...","Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Нейтрально,Недостаток времени,"Нет, я бы предпочел участвовать в конференциях в своей стране",Я бы предпочел просто слушать,Мне всё равно,"Возможно, но я не уверен","На многих, но по одному определенному направлению",Cпорт,Не занимаюсь,Собственный интерес,Боюсь выступать,"Абсолютно позитивно, готов работать в команде"
"Я не знаю, что такое научные конференции.",Получение сертификата или диплома,Нейтрально,Финансовые затраты,"Да, это было бы замечательно",Я бы предпочел просто слушать,В других областях тоже интересно,"Нет, я не вижу связи",В нескольких за все время обучения,Pаботаю,Читаю научную литературу,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Я активно ищу возможности для участия,Обмен опытом и знаниями,Важно,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Cпорт,Подписан на курсы,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Я не знаю, что такое научные конференции.",Получение сертификата или диплома,Важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я еще не знаю,В других областях тоже интересно,"Да, это может быть полезно",Другой ответ,Cпорт,Читаю научную литературу,Свой вариант,Боюсь выступать,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Важно,Финансовые затраты,"Да, это было бы замечательно",Я бы предпочел просто слушать,Только в моей специализации,"Да, это может быть полезно","На многих, но по одному определенному направлению",Cпорт,Не занимаюсь,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Получение сертификата или диплома,Нейтрально,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Только в моей специализации,"Да, это может быть полезно",Никогда,Нет свободного времени,Не занимаюсь,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Обмен опытом и знаниями,Очень важно,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,Только в моей специализации,"Да, это может быть полезно",В нескольких за все время обучения,Нет свободного времени,Не занимаюсь,Собственный интерес,"Мне дается это легко, но ...","Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Обмен опытом и знаниями,Не очень важно,Недостаток опыта или знаний,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Только в моей специализации,"Возможно, но я не уверен",В нескольких за все время обучения,Помогаю по дому,Не занимаюсь,Актуальная профессия,Боюсь выступать,"Нейтрально, зависит от ситуации"
Мне это не интересно,Просто интерес,Не очень важно,Нет интереса к теме конференции,"Нет, я бы предпочел участвовать в конференциях в своей стране",Я бы предпочел просто слушать,Мне всё равно,"Нет, я не вижу связи",В нескольких за все время обучения,Хобби,Не занимаюсь,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Получение сертификата или диплома,Нейтрально,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Мне всё равно,"Нет, я не вижу связи",В нескольких за все время обучения,Pаботаю,Хожу на доп. занятия,Свой вариант,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Просто интерес,Нейтрально,Недостаток времени,"Да, это было бы замечательно",Я бы предпочел просто слушать,Мне всё равно,"Возможно, но я не уверен",В нескольких за все время обучения,Pаботаю,Читаю научную литературу,Актуальная профессия,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Возможность представить свою работу,Важно,Недостаток опыта или знаний,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","Был(а) практически на каждом, что были",Саморазвитие,Подписан на курсы,Актуальная профессия,Обожаю выступать,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","На многих, но по одному определенному направлению",Pаботаю,Хожу на доп. занятия,Актуальная профессия,"Мне дается это легко, но ...","Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Очень важно,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,Мне всё равно,"Да, это может быть полезно",Никогда,Нет свободного времени,Занимаюсь программированием,Собственный интерес,Обожаю выступать,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Саморазвитие,Подписан на курсы,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Получение сертификата или диплома,Совсем не важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я еще не знаю,Мне всё равно,"Нет, я не вижу связи",В нескольких за все время обучения,Саморазвитие,Хожу на доп. занятия,Актуальная профессия,"Мне дается это легко, но ...","Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Важно,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Pаботаю,Читаю научную литературу,Собственный интерес,"Мне дается это легко, но ...","Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Не очень важно,Недостаток времени,"Да, это было бы замечательно",Я еще не знаю,В других областях тоже интересно,"Возможно, но я не уверен",В нескольких за все время обучения,Хобби,Не занимаюсь,Актуальная профессия,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Важно,Нет интереса к теме конференции,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно",Другой ответ,Хобби,Подписан на курсы,Собственный интерес,Обожаю выступать,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Важно,Недостаток опыта или знаний,"Да, это было бы замечательно",Я бы предпочел просто слушать,Только в моей специализации,"Да, это может быть полезно",В нескольких за все время обучения,Хобби,Не занимаюсь,Актуальная профессия,Боюсь выступать,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Нейтрально,Нет интереса к теме конференции,"Да, это было бы замечательно",Я бы предпочел просто слушать,Мне всё равно,"Да, это может быть полезно",Другой ответ,Хобби,Не занимаюсь,Свой вариант,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я еще не знаю,Только в моей специализации,"Да, это может быть полезно",В нескольких за все время обучения,Саморазвитие,Подписан на курсы,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Обмен опытом и знаниями,Нейтрально,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Хобби,Не занимаюсь,Актуальная профессия,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Получение сертификата или диплома,Нейтрально,Нет интереса к теме конференции,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Возможно, но я не уверен","Был(а) практически на каждом, что были",Саморазвитие,Читаю научную литературу,Актуальная профессия,Обожаю выступать,"Абсолютно позитивно, готов работать в команде"
Я активно ищу возможности для участия,Повышение своей квалификации,Очень важно,Нет интереса к теме конференции,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","Был(а) практически на каждом, что были",Pаботаю,Хожу на доп. занятия,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Обмен опытом и знаниями,Нейтрально,Недостаток опыта или знаний,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Саморазвитие,Подписан на курсы,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Просто интерес,Нейтрально,Недостаток опыта или знаний,"Да, это было бы замечательно",Я бы предпочел просто слушать,В других областях тоже интересно,"Возможно, но я не уверен",В нескольких за все время обучения,Саморазвитие,Читаю научную литературу,Собственный интерес,Боюсь выступать,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Обмен опытом и знаниями,Не очень важно,Финансовые затраты,"Возможно, но это зависит от многих факторов",Я еще не знаю,Только в моей специализации,"Да, это может быть полезно",В нескольких за все время обучения,Хобби,Читаю научную литературу,Актуальная профессия,"Мне дается это легко, но ...","Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Просто интерес,Не очень важно,Недостаток опыта или знаний,"Возможно, но это зависит от многих факторов",Я еще не знаю,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Cпорт,Читаю научную литературу,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Нейтрально,Недостаток опыта или знаний,"Да, это было бы замечательно",Я бы предпочел просто слушать,В других областях тоже интересно,"Возможно, но я не уверен",В нескольких за все время обучения,Помогаю по дому,Не занимаюсь,Собственный интерес,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Обмен опытом и знаниями,Нейтрально,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,В других областях тоже интересно,"Возможно, но я не уверен",В нескольких за все время обучения,Cпорт,Не занимаюсь,Собственный интерес,Боюсь выступать,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Повышение своей квалификации,Важно,Финансовые затраты,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Саморазвитие,Читаю научную литературу,Актуальная профессия,Боюсь выступать,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Просто интерес,Нейтрально,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,В других областях тоже интересно,"Возможно, но я не уверен",Никогда,Хобби,Не занимаюсь,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Просто интерес,Нейтрально,Нет интереса к теме конференции,"Нет, я бы предпочел участвовать в конференциях в своей стране",Я бы предпочел просто слушать,Мне всё равно,"Нет, я не вижу связи",В нескольких за все время обучения,Хобби,Не занимаюсь,Актуальная профессия,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Просто интерес,Нейтрально,Нет интереса к теме конференции,"Нет, я бы предпочел участвовать в конференциях в своей стране",Я еще не знаю,Мне всё равно,"Возможно, но я не уверен",В нескольких за все время обучения,Хобби,Не занимаюсь,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Повышение своей квалификации,Нейтрально,Другие причины,"Да, это было бы замечательно",Я бы предпочел просто слушать,В других областях тоже интересно,"Нет, я не вижу связи",Никогда,Саморазвитие,Не занимаюсь,Собственный интерес,Боюсь выступать,Не очень хотел бы сильно взаимодействовать с другими
"Я не знаю, что такое научные конференции.",Получение сертификата или диплома,Не очень важно,Недостаток времени,"Да, это было бы замечательно",Я бы предпочел просто слушать,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Ничем,Подписан на курсы,Актуальная профессия,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Обмен опытом и знаниями,Важно,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","Был(а) практически на каждом, что были",Pаботаю,Подписан на курсы,Собственный интерес,Обожаю выступать,"Абсолютно позитивно, готов работать в команде"
"Я не знаю, что такое научные конференции.",Повышение своей квалификации,Нейтрально,Финансовые затраты,"Возможно, но это зависит от многих факторов",Я бы хотел выступить с докладом,В других областях тоже интересно,"Возможно, но я не уверен",Никогда,Pаботаю,Не занимаюсь,Собственный интерес,Боюсь выступать,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Просто интерес,Важно,Другие причины,"Нет, я бы предпочел участвовать в конференциях в своей стране",Я еще не знаю,Мне всё равно,"Да, это может быть полезно",Другой ответ,Хобби,Не занимаюсь,Актуальная профессия,Свой вариант,Предпочел бы работать в одиночку
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Нейтрально,Недостаток опыта или знаний,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Только в моей специализации,"Возможно, но я не уверен","На многих, но по одному определенному направлению",Помогаю по дому,Читаю научную литературу,Актуальная профессия,При необходимости могу выступить,"Нейтрально, зависит от ситуации"
Мне это не интересно,Повышение своей квалификации,Совсем не важно,Недостаток опыта или знаний,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,В других областях тоже интересно,"Возможно, но я не уверен",Никогда,Хобби,Не занимаюсь,Собственный интерес,Боюсь выступать,Предпочел бы работать в одиночку
"Мне интересно, но я ещё не участвовал",Возможность представить свою работу,Важно,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно","Был(а) практически на каждом, что были",Pаботаю,Подписан на курсы,От безысходности,Обожаю выступать,"Нейтрально, зависит от ситуации"
Мне это не интересно,Просто интерес,Нейтрально,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Мне всё равно,"Возможно, но я не уверен",Никогда,Нет свободного времени,Не занимаюсь,Свой вариант,Свой вариант,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Возможность представить свою работу,Важно,Недостаток времени,"Да, это было бы замечательно",Я бы предпочел просто слушать,Мне всё равно,"Да, это может быть полезно",В нескольких за все время обучения,Саморазвитие,Подписан на курсы,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Я активно ищу возможности для участия,Повышение своей квалификации,Важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я еще не знаю,Только в моей специализации,"Да, это может быть полезно",В нескольких за все время обучения,Хобби,Подписан на курсы,Актуальная профессия,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Получение сертификата или диплома,Нейтрально,Недостаток опыта или знаний,"Да, это было бы замечательно",Я еще не знаю,Только в моей специализации,"Возможно, но я не уверен",В нескольких за все время обучения,Саморазвитие,Не занимаюсь,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Я не знаю, что такое научные конференции.",Получение сертификата или диплома,Нейтрально,Недостаток времени,"Да, это было бы замечательно",Я еще не знаю,В других областях тоже интересно,"Возможно, но я не уверен",В нескольких за все время обучения,Pаботаю,Не занимаюсь,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Важно,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Хобби,Хожу на доп. занятия,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Получение сертификата или диплома,Нейтрально,Недостаток опыта или знаний,"Возможно, но это зависит от многих факторов",Я еще не знаю,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Хобби,Подписан на курсы,Собственный интерес,Боюсь выступать,Не очень хотел бы сильно взаимодействовать с другими
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Важно,Недостаток времени,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,В других областях тоже интересно,"Да, это может быть полезно",Никогда,Помогаю по дому,Не занимаюсь,Актуальная профессия,Боюсь выступать,"Нейтрально, зависит от ситуации"
"Мне интересно, но я ещё не участвовал",Просто интерес,Важно,Недостаток времени,"Да, это было бы замечательно",Я бы предпочел просто слушать,В других областях тоже интересно,"Да, это может быть полезно","На многих, но по одному определенному направлению",Pаботаю,Не занимаюсь,Актуальная профессия,Боюсь выступать,"Абсолютно позитивно, готов работать в команде"
Мне это не интересно,Получение сертификата или диплома,Нейтрально,Нет интереса к теме конференции,"Возможно, но это зависит от многих факторов",Я бы предпочел просто слушать,Мне всё равно,"Возможно, но я не уверен",В нескольких за все время обучения,Cпорт,Не занимаюсь,Собственный интерес,При необходимости могу выступить,Предпочел бы работать в одиночку
"Мне интересно, но я ещё не участвовал",Просто интерес,Нейтрально,Недостаток времени,"Да, это было бы замечательно",Я бы хотел выступить с докладом,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Саморазвитие,Читаю научную литературу,Собственный интерес,"Мне дается это легко, но ...","Абсолютно позитивно, готов работать в команде"
"Мне интересно, но я ещё не участвовал",Получение сертификата или диплома,Нейтрально,Недостаток времени,"Да, это было бы замечательно",Я еще не знаю,В других областях тоже интересно,"Да, это может быть полезно",В нескольких за все время обучения,Хобби,Не занимаюсь,Собственный интерес,При необходимости могу выступить,"Абсолютно позитивно, готов работать в команде"
